#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
results/assembly/assembly.fasta	contig_4	138366	139436	-	ompA	1-1041/1041	========/======	2/30	100.00	83.85	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236) - Invasion (VFC0083)] [Escherichia coli O18:K1:H7 str. RS218]	
results/assembly/assembly.fasta	contig_4	252135	254324	-	iutA	1-2190/2190	===============	0/0	100.00	99.45	vfdb	WP_014907843	(iutA) ferric aerobactin receptor IutA [Aerobactin (VF0565) - Nutritional/Metabolic factor (VFC0272)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	523014	523505	+	vipA/tssB	1-492/492	===============	0/0	100.00	99.80	vfdb	WP_004176434	(vipA/tssB) type VI secretion system contractile sheath small subunit VipA [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	523548	525092	+	vipB/tssC	1-1545/1545	===============	0/0	100.00	98.77	vfdb	WP_014907727	(vipB/tssC) type VI secretion system contractile sheath large subunit VipB [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	525102	526445	+	vasE/tssK	1-1344/1344	===============	0/0	100.00	99.26	vfdb	WP_004224345	(vasE/tssK) type VI secretion system baseplate subunit TssK [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	526442	527131	+	dotU/tssL	1-690/690	===============	0/0	100.00	99.71	vfdb	WP_004176431	(dotU/tssL) type VI secretion system protein DotU/TssL family [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	527128	528834	+	ompA	1-1707/1707	===============	0/0	100.00	98.77	vfdb	WP_014907726	(ompA) OmpA family protein [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	528839	529330	+	hcp/tssD	1-492/492	===============	0/0	100.00	99.39	vfdb	WP_002902160	(hcp/tssD) type VI secretion system protein Hcp family [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	529595	532249	+	clpV/tssH	1-2655/2655	===============	0/0	100.00	98.94	vfdb	WP_015874721	(clpV/tssH) type VI secretion system ATPase TssH [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
results/assembly/assembly.fasta	contig_4	542557	545640	+	icmF/tssM	373-3456/3456	.==============	0/0	89.24	96.98	vfdb	WP_049127998	(icmF/tssM) type VI secretion protein TssM [T6SS (VF0569) - Effector delivery system (VFC0086)] [Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044]	
